LOCATION,DATES,MIN . TEMPERATURE,MAX. TEMPERATURE,AVG. TEMPERATURE,AVG. Humidity(%),IMAGES,DIRECT_LINK,Vegetation_Density,Green_Density
GREATER NOIDA ,01-01-2016,11,22,16,79,https://drive.google.com/file/d/1-s6hwAPU56cQCe-5yfPeDXc-yjMQ691M/view?usp=sharing,https://drive.google.com/uc?export=download&id=1-s6hwAPU56cQCe-5yfPeDXc-yjMQ691M,,0.04119873
GREATER NOIDA ,07-01-2016,11,22,16,79,https://drive.google.com/file/d/1QUPiCIHOvzlUXxIPgA4PkOK231VU6MvD/view?usp=sharing,https://drive.google.com/uc?export=download&id=1QUPiCIHOvzlUXxIPgA4PkOK231VU6MvD,,0.009155273
GREATER NOIDA ,01-02-2016,14,26,19,65,https://drive.google.com/file/d/1qfTy8TyLTAsFM1htu6ZZqyH33C5jINXB/view?usp=sharing,https://drive.google.com/uc?export=download&id=1qfTy8TyLTAsFM1htu6ZZqyH33C5jINXB,,0
GREATER NOIDA ,29-02-2016,14,26,19,65,https://drive.google.com/file/d/1vrW5FKxph0SWiDr0OBGuBsU2eNEyr6Lo/view?usp=sharing,https://drive.google.com/uc?export=download&id=1vrW5FKxph0SWiDr0OBGuBsU2eNEyr6Lo,,0
GREATER NOIDA ,01-03-2016,14,26,20,50,https://drive.google.com/file/d/180QhwEMfoio-1pFCGEqG408ZNBeZ22Qm/view?usp=sharing,https://drive.google.com/uc?export=download&id=180QhwEMfoio-1pFCGEqG408ZNBeZ22Qm,,0
GREATER NOIDA ,13-03-2016,14,26,20,50,https://drive.google.com/file/d/180QhwEMfoio-1pFCGEqG408ZNBeZ22Qm/view?usp=sharing,https://drive.google.com/uc?export=download&id=180QhwEMfoio-1pFCGEqG408ZNBeZ22Qm,,0
GREATER NOIDA ,15-03-2016,14,26,20,50,https://drive.google.com/file/d/1sTwELGNY77kZiHcJPK5qUc4itrDcEYoW/view?usp=sharing,https://drive.google.com/uc?export=download&id=1sTwELGNY77kZiHcJPK5qUc4itrDcEYoW,,2.981567383
GREATER NOIDA ,16-03-2016,14,26,20,50,https://drive.google.com/file/d/1lc4tZ-imsijPYktm0XzKQfeGDmLTxn0V/view?usp=sharing,https://drive.google.com/uc?export=download&id=1lc4tZ-imsijPYktm0XzKQfeGDmLTxn0V,,2.825927734
GREATER NOIDA ,19-03-2016,14,26,20,50,https://drive.google.com/file/d/1kfjBayuVXvIpC39fEI-sq5_5SlvB4Yfl/view?usp=sharing,https://drive.google.com/uc?export=download&id=1kfjBayuVXvIpC39fEI-sq5_5SlvB4Yfl,,1.165771484
GREATER NOIDA ,24-03-2016,14,26,20,50,https://drive.google.com/file/d/1CQnbiPxDNthKLIl_Pn_wX9XlNgmDUAva/view?usp=sharing,https://drive.google.com/uc?export=download&id=1CQnbiPxDNthKLIl_Pn_wX9XlNgmDUAva,,5.381774902
GREATER NOIDA ,30-03-2016,14,26,20,50,https://drive.google.com/file/d/1yNH0uBnuu2oteG-tIRH5mXQIo1mp1u8V/view?usp=sharing,https://drive.google.com/uc?export=download&id=1yNH0uBnuu2oteG-tIRH5mXQIo1mp1u8V,,6.037902832
GREATER NOIDA ,01-05-2016,26,40,33,25,https://drive.google.com/file/d/1TG-MIgdwvcqAJuDRqdsifR5cs3r3Zxvd/view?usp=sharing,https://drive.google.com/uc?export=download&id=1TG-MIgdwvcqAJuDRqdsifR5cs3r3Zxvd,,5.953979492
GREATER NOIDA ,12-05-2016,26,40,33,25,https://drive.google.com/file/d/1zHG5IUp_s_t1qEGSkwplCWj4qiTtUQvw/view?usp=sharing,https://drive.google.com/uc?export=download&id=1zHG5IUp_s_t1qEGSkwplCWj4qiTtUQvw,,5.35736084
GREATER NOIDA ,01-08-2016,26,34,30,67,https://drive.google.com/file/d/1XefSsMOnYl3n_lIhcpBrDnwFuHGBItGu/view?usp=sharing,https://drive.google.com/uc?export=download&id=1XefSsMOnYl3n_lIhcpBrDnwFuHGBItGu,,35.14709473
GREATER NOIDA ,15-08-2016,26,34,30,67,https://drive.google.com/file/d/15rx_gyWSBlhnkudq-QLXzhjshzFmhLHj/view?usp=sharing,https://drive.google.com/uc?export=download&id=15rx_gyWSBlhnkudq-QLXzhjshzFmhLHj,,0.653076172
GREATER NOIDA ,21-08-2016,26,34,30,67,https://drive.google.com/file/d/1tS0tAg8kvuNuTZ9Dt_UOdhtwohViild3/view?usp=sharing,https://drive.google.com/uc?export=download&id=1tS0tAg8kvuNuTZ9Dt_UOdhtwohViild3,,29.92248535
GREATER NOIDA ,26-08-2016,26,34,30,67,https://drive.google.com/file/d/1x6bHI4piEbnhY-ZrxBUCEuIuLYAVeLKw/view?usp=sharing,https://drive.google.com/uc?export=download&id=1x6bHI4piEbnhY-ZrxBUCEuIuLYAVeLKw,,0
GREATER NOIDA ,28-08-2016,26,34,30,67,https://drive.google.com/file/d/11pGaLOA3t11-2LZlDW39NQ8G-Pr-jroX/view?usp=sharing,https://drive.google.com/uc?export=download&id=11pGaLOA3t11-2LZlDW39NQ8G-Pr-jroX,,1.136779785
GREATER NOIDA ,29-08-2016,26,34,30,67,https://drive.google.com/file/d/10xJ6hHVan8xBsT9zmat4IThWeHc_l3SW/view?usp=sharing,https://drive.google.com/uc?export=download&id=10xJ6hHVan8xBsT9zmat4IThWeHc_l3SW,,0
GREATER NOIDA ,01-09-2016,26,34,30,60,https://drive.google.com/file/d/10dMc5lf_o6kWyNq11N-GZLeyZGFMzHU-/view?usp=sharing,https://drive.google.com/uc?export=download&id=10dMc5lf_o6kWyNq11N-GZLeyZGFMzHU-,,4.766845703
GREATER NOIDA ,14-09-2016,26,34,30,60,https://drive.google.com/file/d/1yAFlLG3JFWsJTmsXe46TMJr4Hgj4OMbv/view?usp=sharing,https://drive.google.com/uc?export=download&id=1yAFlLG3JFWsJTmsXe46TMJr4Hgj4OMbv,,4.333496094
